Site,Sample_ID,Date,Species,Pollen,Sample_no,Who,Buffer,Date,Epoch,RNA,NFW,Date,Target_RNA,DF
Goe901_2,Goe901_2S1,7.22,Andrena flavipes,yes,1,C,300,22.9.23,733.222,1.09,8.91,25.9.23,800,10
Goe901_2,Goe901_2S2,7.22,Andrena flavipes,no,2,C,300,22.9.23,129.705,3.08,6.92,25.9.23,400,5
Goe901_2,Goe901_2S3,7.22,Andrena flavipes,no,3,C,300,22.9.23,94.726,4.22,5.78,25.9.23,400,5
Goe901_2,Goe901_2S4,7.22,Melitta leporina,yes,4,C,300,22.9.23,563.09,1.42,8.58,25.9.23,800,10
Goe901_2,Goe901_2S5,7.22,Andrena flavipes,no,5,C,300,22.9.23,542.103,1.48,8.52,25.9.23,800,10
Goe901_2,Goe901_2S6,7.22,Melitta leporina,no,6,C,300,22.9.23,463.712,1.73,8.27,25.9.23,800,10
Goe901_2,Goe901_2S7,7.22,Andrena flavipes,yes,7,C,300,22.9.23,991.79,0.81,9.19,25.9.23,800,10
Goe901_2,Goe901_2S8,7.22,Andrena flavipes,no,8,C,300,22.9.23,771.169,1.04,8.96,25.9.23,800,10
Goe901_2,Goe901_2S9,7.22,Melitta leporina,no,9,C,300,22.9.23,273.009,2.93,7.07,25.9.23,800,10
Goe901_2,Goe901_2S10,7.22,Andrena flavipes,no,10,C,300,22.9.23,697.746,1.15,8.85,25.9.23,800,10
Goe901_2,Goe901_2S11,7.22,Andrena minutula,no,11,C,200,12.12.23,65.425,2.45,7.55,25.9.23,160,2
Goe901_2,Goe901_2S12,7.22,,no,12,C,200,12.12.23,16.656,9.61,0.39,25.9.23,160,2
Goe901_2,Goe901_2S13,7.22,Andrena gravida,no,13,C,200,12.12.23,13.421,11.92,-1.92,25.9.23,160,2
Gos1,Gos1S1,7.22,Andrena flavipes,yes,1,C,300,22.9.23,526.428,1.52,8.48,25.9.23,800,10
Gos1,Gos1S2,7.22,Andrena flavipes,yes,2,C,300,22.9.23,548.223,1.46,8.54,25.9.23,800,10
